"","act","position","t_min","t_max","t_mcr","t_sttdev","t_mean","t_rms","t_iqr","t_mad","t_variance"
"1","Running","Hand Fixed",4.63247779254161,18.382014534037,0.203125,3.88447957559478,12.0096015526675,12.6221912133769,7.43480485324429,3.44702006561213,15.089181573213
"2","Running","Hand Fixed",4.4852612895757,19.6954172601353,0.1953125,3.68353144558327,12.0061919312775,12.5585448441001,6.10557186363115,3.13816752645933,13.5684039106008
"3","Running","Hand Fixed",3.11680037592834,21.8960648017682,0.1875,4.56146415711174,12.0877917526848,12.9198167445552,6.98504865362906,3.8780500210085,20.8069552566151
"4","Running","Hand Fixed",3.89351100890378,23.1806474285907,0.1953125,4.15821004600721,13.4371840283682,14.0658673887872,6.08219401489913,3.43590959103254,17.2907107867153
"5","Running","Hand Fixed",4.33306525774521,19.6904975592082,0.1953125,3.71036965072102,11.9498312947627,12.512606080201,6.07339099369012,3.21250058968092,13.7668429449916
"6","Running","Hand Fixed",6.91895306156455,14.3572963118761,0.203125,2.00283400744547,10.944401842666,11.126152783201,3.46761919783076,1.73356679226478,4.01134406138009
"7","Running","Hand Fixed",6.75163852563644,16.0087915233528,0.2109375,2.24822873951484,11.4936336021387,11.7114536179499,3.91466816730014,1.91939923882935,5.05453246518049
"8","Running","Hand Fixed",7.12261980237065,15.870726630211,0.1953125,2.11100268396483,11.2452464334165,11.4416738146118,3.52955815008135,1.80718934978103,4.45633233170671
"9","Running","Hand Fixed",6.80038363773096,15.1852695390246,0.1953125,2.29426431818006,11.033044304032,11.2690600928563,3.95444042053748,2.0066283715074,5.2636487616742
"10","Running","Hand Fixed",6.72612565692691,14.7088315996283,0.1953125,1.85411735129226,11.0008150543745,11.1559707337782,2.86319853979061,1.55010672854546,3.43775115236304
"11","Running","Hand Fixed",8.43672549740539,14.1835807008258,0.203125,1.34923902724304,11.1837965624634,11.2648902126565,1.85579422987722,1.12909378429899,1.82044595263574
"12","Running","Hand Fixed",2.43420606084615,19.0870602935341,0.09375,3.14048432920743,10.3548075420787,10.8205675015448,3.51852532178436,2.42700773395104,9.86264182199743
"13","Running","Hand Fixed",5.94991469191319,26.5568357297663,0.09375,5.41708002221683,14.514990236252,15.4928918386978,8.89382102027891,4.61527578553976,29.3447559671007
"14","Running","Hand Fixed",1.63715858755641,26.3946775503214,0.0859375,6.15557735139872,13.2075322952319,14.5715490548756,9.19180782791711,5.15551868659234,37.8911325290528
"15","Running","Hand Fixed",4.41866854279552,26.41892476103,0.0859375,5.95742356182139,14.461038716397,15.6400938696696,9.67330185475258,5.11352709266188,35.4908954949446
"16","Running","Hand Fixed",5.73748164160966,26.6649947927596,0.09375,5.59174563431848,14.7680488603383,15.7912281466724,8.32432256019403,4.74907454205066,31.2676192389197
"17","Running","Hand Fixed",2.72078091754463,27.5784332035248,0.08203125,6.74463873758286,13.7549282559911,15.3195366453417,11.458144007358,5.77596858022477,45.4901517005033
"18","Running","Hand Fixed",2.33292425133117,28.507088839716,0.1015625,6.30515539980444,13.3416110970229,14.7564755710802,9.53659496882383,5.30521024636442,39.7549846156831
"19","Running","Hand Fixed",3.40534263580009,26.7509064406549,0.09375,6.54199212311739,13.8431625811987,15.3111335696751,11.3052810789651,5.60668103412771,42.79766093893
"20","Running","Hand Fixed",-1.14630039576129,27.2453281570019,0.078125,6.32703030836698,14.1530538222193,15.5029108562757,9.35423086395144,5.22468785923413,40.0313125229944
"21","Running","Hand Fixed",3.06215177051233,30.8239015215122,0.1015625,6.14279144185465,15.3300631284667,16.5149847781007,9.48015272796729,5.16296293020076,37.7338866981227
"22","Running","Hand Fixed",4.10970606769849,25.8732706903578,0.0859375,6.10093079482256,14.1074204169667,15.3701225559285,10.1209152602424,5.2359302539859,37.2213565632142
"23","Running","Hand Swing",8.19138921735116,24.1394346247852,0.171875,3.65633689019722,16.0037089144771,16.4160743929214,5.45975512932434,2.99914331974161,13.3687994546171
"24","Running","Hand Swing",8.45743793381322,27.6250317615851,0.15625,4.10056029904311,17.499272569921,17.9732894942044,5.32067009337638,3.30340499427477,16.8145947660885
